Event,Probability,Word_Order,Eta0,Eta1,Eta2,I1,I2,Entropy_Deviation_Score,Surprisal1,Surprisal2,Surprisal3,Surprisal_Deviation_Score,Mutual_Information
MAPPY_THE_MICRO_POLICE ?? MAPPY,1.4494854326714017E-4,SVO,4.19150203695046153000675372443171195478382580134383560,0.0,0.0,4.19150203695046153000675372443171195478382580134383560,0.0,0.999999999999999999999999999999999975,12.752171545162443679699529218365350,0E+14,0E+14,0.999999999999999999999999999999999975,2.864998848430897115264476421189650
MAPPY_THE_MICRO_POLICE ?? MAPPY,1.4494854326714017E-4,SOV,4.19150203695046153000675372443171195478382580134383560,0.0,0.0,4.19150203695046153000675372443171195478382580134383560,0.0,0.999999999999999999999999999999999975,12.752171545162443679699529218365350,0E+14,0E+14,0.999999999999999999999999999999999975,14.184670969377892237331767428960175
MAPPY_THE_MICRO_POLICE ?? MAPPY,1.4494854326714017E-4,VSO,4.19150203695046153000675372443171195478382580134383560,4.1771011968237486520448493709011543718238914664062767659543233520509120,0.0,0.0144008401267128779619043535305575829599343349375588340456766479490880,4.1771011968237486520448493709011543718238914664062767659543233520509120,0.99484641543779724098054902867807670700,1.4324994242154488461712463883875100,11.319672120946993246563737852118070,0E+14,0.831499354544183039799227414470864650,14.184670969377892237331767428960175
MAPPY_THE_MICRO_POLICE ?? MAPPY,1.4494854326714017E-4,VOS,4.19150203695046153000675372443171195478382580134383560,4.1771011968237486520448493709011543718238914664062767659543233520509120,0.0,0.0144008401267128779619043535305575829599343349375588340456766479490880,4.1771011968237486520448493709011543718238914664062767659543233520509120,0.99484641543779724098054902867807670700,1.4324994242154488461712463883875100,11.319672120946993246563737852118070,0E+14,0.831499354544183039799227414470864650,14.184670969377892237331767428960175
MAPPY_THE_MICRO_POLICE ?? MAPPY,1.4494854326714017E-4,OVS,4.19150203695046153000675372443171195478382580134383560,0.0,0.0,4.19150203695046153000675372443171195478382580134383560,0.0,0.999999999999999999999999999999999975,12.752171545162443679699529218365350,0E+14,0E+14,0.999999999999999999999999999999999975,2.864998848430897115264476421189650
MAPPY_THE_MICRO_POLICE ?? MAPPY,1.4494854326714017E-4,OSV,4.19150203695046153000675372443171195478382580134383560,0.0,0.0,4.19150203695046153000675372443171195478382580134383560,0.0,0.999999999999999999999999999999999975,12.752171545162443679699529218365350,0E+14,0E+14,0.999999999999999999999999999999999975,14.184670969377892237331767428960175
M1912 ? ??,1.4494854326714017E-4,SVO,4.19150203695046153000675372443171195478382580134383560,0.0,0.0,4.19150203695046153000675372443171195478382580134383560,0.0,0.999999999999999999999999999999999975,12.752171545162443679699529218365350,0E+14,0E+14,0.999999999999999999999999999999999975,-0.4285840990820846274874152970458183
M1912 ? ??,1.4494854326714017E-4,SOV,4.19150203695046153000675372443171195478382580134383560,0.0,0.0,4.19150203695046153000675372443171195478382580134383560,0.0,0.999999999999999999999999999999999975,12.752171545162443679699529218365350,0E+14,0E+14,0.999999999999999999999999999999999975,0.318270236379300680426228621039086
M1912 ? ??,1.4494854326714017E-4,VSO,4.19150203695046153000675372443171195478382580134383560,2.6892085296262516826896773640433249799081412126686328818093976708904400,0.0,1.5022935073242098473170763603883869748756845886752027181906023291095600,2.6892085296262516826896773640433249799081412126686328818093976708904400,0.500000000000000000000000000000000025,0.66769530770855051392771066299886540,12.084476237453894464197355355433560,0E+14,0.9214609874078457097114767372816020400,2.0822449508784860472300570662899497
M1912 ? ??,1.4494854326714017E-4,VOS,4.19150203695046153000675372443171195478382580134383560,2.6892085296262516826896773640433249799081412126686328818093976708904400,2.2650620139851502974064969454560701435656664000000500524554326959357010,1.5022935073242098473170763603883869748756845886752027181906023291095600,0.4241465156411013852831804185872548363424748126685828293539649749547390,0.348211985142076784360120716091453250,0.66769530770855051392771066299886540,2.5108290499605729830295377856772500,9.5736471874933232124018666365124260,0.6261196362032668631945820255726480150,0.318270236379300680426228621039086
